Momentum_State,Total_Occurrences,Rounds_Won_After,Win_Probability_Percent
0,116309,35892,30.859176847879354
1,185125,83805,45.2694125590817
2,219142,101914,46.505918536839125
3,192766,105317,54.63463473849123
4,156065,92810,59.46881107230961
5,75477,47210,62.54885594287002
6,20406,11133,54.55748309320788
7,16194,9309,57.484253427195256
8,11389,6907,60.646237597681974
9,6891,4246,61.6166013640981
10,4074,2439,59.86745213549337
11,2855,1700,59.54465849387041
12,2039,1261,61.84404119666503
13,1379,831,60.2610587382161
14,899,553,61.512791991101224
15,538,316,58.7360594795539
16,420,243,57.85714285714286
17,238,155,65.12605042016807
18,155,91,58.70967741935483
19,100,64,64.0
20,105,66,62.857142857142854
21,33,21,63.63636363636363
22,43,26,60.46511627906976
23,13,10,76.92307692307693
24,29,18,62.06896551724138
25,8,5,62.5
26,16,10,62.5
30,8,3,37.5
31,8,7,87.5
